Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KWH(ch: 3  set:0)    ,KVAH(ch: 3  set:0)   ,PF(ch: 4  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KW(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  ,, PV 17.7 kW Rated Suniva Array
H202010637868     ,2018/02/08 13:30,46.17,21.96,0,51.13,0.9,184.68,87.84,0,204.51,0.9,,2/8/18 13:30,12.77
H202010637868     ,2018/02/08 13:45,46.17,21.87,0,51.09,0.9,184.68,87.48,0,204.35,0.9,,2/8/18 13:45,12.67
H202010637868     ,2018/02/08 14:00,46.44,21.87,0,51.33,0.9,185.76,87.48,0,205.33,0.9,,2/8/18 14:00,12.34
H202010637868     ,2018/02/08 14:15,46.98,22.05,0,51.9,0.91,187.92,88.2,0,207.59,0.91,,2/8/18 14:15,12.1
H202010637868     ,2018/02/08 14:30,46.8,21.87,0,51.66,0.91,187.2,87.48,0,206.63,0.91,,2/8/18 14:30,11.76
H202010637868     ,2018/02/08 14:45,47.43,21.69,0,52.15,0.91,189.72,86.76,0,208.62,0.91,,2/8/18 14:45,11.47
H202010637868     ,2018/02/08 15:00,47.07,21.06,0,51.57,0.91,188.28,84.24,0,206.27,0.91,,2/8/18 15:00,11.02
H202010637868     ,2018/02/08 15:15,46.89,21.06,0,51.4,0.91,187.56,84.24,0,205.61,0.91,,2/8/18 15:15,10.69
H202010637868     ,2018/02/08 15:30,46.53,21.06,0,51.07,0.91,186.12,84.24,0,204.3,0.91,,2/8/18 15:30,10.24
H202010637868     ,2018/02/08 15:45,46.53,21.06,0,51.07,0.91,186.12,84.24,0,204.3,0.91,,2/8/18 15:45,9.59
H202010637868     ,2018/02/08 16:00,47.07,20.97,0,51.53,0.91,188.28,83.88,0,206.12,0.91,,2/8/18 16:00,8.66
H202010637868     ,2018/02/08 16:15,48.15,21.15,0,52.59,0.92,192.6,84.6,0,210.36,0.92,,2/8/18 16:15,8.35
H202010637868     ,2018/02/08 16:30,46.17,20.43,0,50.49,0.91,184.68,81.72,0,201.95,0.91,,2/8/18 16:30,1.99
H202010637868     ,2018/02/08 16:45,45.54,20.43,0,49.91,0.91,182.16,81.72,0,199.65,0.91,,2/8/18 16:45,6.49
H202010637868     ,2018/02/08 17:00,45,20.34,0,49.38,0.91,180,81.36,0,197.53,0.91,,2/8/18 17:00,5.39
H202010637868     ,2018/02/08 17:15,44.64,20.52,0,49.13,0.91,178.56,82.08,0,196.52,0.91,,2/8/18 17:15,4.32
H202010637868     ,2018/02/08 17:30,44.19,19.89,0,48.46,0.91,176.76,79.56,0,193.84,0.91,,2/8/18 17:30,3.29
H202010637868     ,2018/02/08 17:45,43.11,19.08,0,47.14,0.91,172.44,76.32,0,188.57,0.91,,2/8/18 17:45,2.19
H202010637868     ,2018/02/08 18:00,43.2,19.17,0,47.26,0.91,172.8,76.68,0,189.05,0.91,,2/8/18 18:00,0.91
H202010637868     ,2018/02/08 18:15,43.29,18.99,0,47.27,0.92,173.16,75.96,0,189.09,0.92,,2/8/18 18:15,0.26
H202010637868     ,2018/02/08 18:30,42.66,18.63,0,46.55,0.92,170.64,74.52,0,186.2,0.92,,2/8/18 18:30,0.01
H202010637868     ,2018/02/08 18:45,41.76,18.45,0,45.65,0.91,167.04,73.8,0,182.62,0.91,,2/8/18 18:45,0.01
H202010637868     ,2018/02/08 19:00,41.22,18.72,0,45.27,0.91,164.88,74.88,0,181.09,0.91,,2/8/18 19:00,0.01
H202010637868     ,2018/02/08 19:15,40.77,18.9,0,44.94,0.91,163.08,75.6,0,179.75,0.91,,2/8/18 19:15,0.01
H202010637868     ,2018/02/08 19:30,40.41,18.9,0,44.61,0.91,161.64,75.6,0,178.45,0.91,,2/8/18 19:30,0.02
H202010637868     ,2018/02/08 19:45,39.06,18.81,0,43.35,0.9,156.24,75.24,0,173.41,0.9,,2/8/18 19:45,0.02
H202010637868     ,2018/02/08 20:00,35.37,17.91,0,39.65,0.89,141.48,71.64,0,158.58,0.89,,2/8/18 20:00,0.02
H202010637868     ,2018/02/08 20:15,35.01,18,0,39.37,0.89,140.04,72,0,157.46,0.89,,2/8/18 20:15,0.02
H202010637868     ,2018/02/08 20:30,35.37,18.09,0,39.73,0.89,141.48,72.36,0,158.91,0.89,,2/8/18 20:30,0.03
H202010637868     ,2018/02/08 20:45,34.92,18.27,0,39.41,0.89,139.68,73.08,0,157.64,0.89,,2/8/18 20:45,0.03
H202010637868     ,2018/02/08 21:00,34.74,18.36,0,39.29,0.88,138.96,73.44,0,157.17,0.88,,2/8/18 21:00,0.03
H202010637868     ,2018/02/08 21:15,34.56,17.64,0,38.8,0.89,138.24,70.56,0,155.21,0.89,,2/8/18 21:15,0.03
H202010637868     ,2018/02/08 21:30,34.65,17.55,0,38.84,0.89,138.6,70.2,0,155.36,0.89,,2/8/18 21:30,0.04
H202010637868     ,2018/02/08 21:45,34.29,17.55,0,38.52,0.89,137.16,70.2,0,154.08,0.89,,2/8/18 21:45,0.04
H202010637868     ,2018/02/08 22:00,34.38,17.64,0,38.64,0.89,137.52,70.56,0,154.57,0.89,,2/8/18 22:00,0.04
H202010637868     ,2018/02/08 22:15,34.56,17.82,0,38.88,0.89,138.24,71.28,0,155.54,0.89,,2/8/18 22:15,0.04
H202010637868     ,2018/02/08 22:30,34.2,17.82,0,38.56,0.89,136.8,71.28,0,154.26,0.89,,2/8/18 22:30,0.05
H202010637868     ,2018/02/08 22:45,34.56,18,0,38.97,0.89,138.24,72,0,155.87,0.89,,2/8/18 22:45,0.05
H202010637868     ,2018/02/08 23:00,34.2,17.73,0,38.52,0.89,136.8,70.92,0,154.09,0.89,,2/8/18 23:00,0.05
H202010637868     ,2018/02/08 23:15,34.02,16.83,0,37.96,0.9,136.08,67.32,0,151.82,0.9,,2/8/18 23:15,0.05
H202010637868     ,2018/02/08 23:30,33.93,16.74,0,37.83,0.9,135.72,66.96,0,151.34,0.9,,2/8/18 23:30,0.06
H202010637868     ,2018/02/08 23:45,34.02,16.92,0,38,0.9,136.08,67.68,0,151.98,0.9,,2/8/18 23:45,0.06
H202010637868     ,2018/02/09 0:00,33.75,16.65,0,37.63,0.9,135,66.6,0,150.53,0.9,,2/9/18 0:00,0.06
H202010637868     ,2018/02/09 0:15,33.57,16.65,0,37.47,0.9,134.28,66.6,0,149.89,0.9,,2/9/18 0:15,0.06
H202010637868     ,2018/02/09 0:30,33.93,16.83,0,37.87,0.9,135.72,67.32,0,151.5,0.9,,2/9/18 0:30,0.07
H202010637868     ,2018/02/09 0:45,33.66,16.65,0,37.55,0.9,134.64,66.6,0,150.21,0.9,,2/9/18 0:45,0.07
H202010637868     ,2018/02/09 1:00,33.84,16.83,0,37.79,0.9,135.36,67.32,0,151.18,0.9,,2/9/18 1:00,0.07
H202010637868     ,2018/02/09 1:15,33.75,16.83,0,37.71,0.89,135,67.32,0,150.85,0.89,,2/9/18 1:15,0.07
H202010637868     ,2018/02/09 1:30,33.75,16.83,0,37.71,0.89,135,67.32,0,150.85,0.89,,2/9/18 1:30,0.08
H202010637868     ,2018/02/09 1:45,34.02,17.01,0,38.04,0.89,136.08,68.04,0,152.14,0.89,,2/9/18 1:45,0.08
H202010637868     ,2018/02/09 2:00,33.75,16.92,0,37.75,0.89,135,67.68,0,151.02,0.89,,2/9/18 2:00,0.08
H202010637868     ,2018/02/09 2:15,33.84,17.01,0,37.87,0.89,135.36,68.04,0,151.5,0.89,,2/9/18 2:15,0.08
H202010637868     ,2018/02/09 2:30,33.84,16.83,0,37.79,0.9,135.36,67.32,0,151.18,0.9,,2/9/18 2:30,0.09
H202010637868     ,2018/02/09 2:45,33.84,17.19,0,37.96,0.89,135.36,68.76,0,151.82,0.89,,2/9/18 2:45,0.09
H202010637868     ,2018/02/09 3:00,33.75,17.19,0,37.88,0.89,135,68.76,0,151.5,0.89,,2/9/18 3:00,0.09
H202010637868     ,2018/02/09 3:15,33.93,17.28,0,38.08,0.89,135.72,69.12,0,152.31,0.89,,2/9/18 3:15,0.09
H202010637868     ,2018/02/09 3:30,34.02,17.37,0,38.2,0.89,136.08,69.48,0,152.79,0.89,,2/9/18 3:30,0.1
H202010637868     ,2018/02/09 3:45,34.02,17.1,0,38.08,0.89,136.08,68.4,0,152.3,0.89,,2/9/18 3:45,0.1
H202010637868     ,2018/02/09 4:00,33.93,17.37,0,38.12,0.89,135.72,69.48,0,152.47,0.89,,2/9/18 4:00,0.1
H202010637868     ,2018/02/09 4:15,33.93,17.46,0,38.16,0.89,135.72,69.84,0,152.64,0.89,,2/9/18 4:15,0.1
H202010637868     ,2018/02/09 4:30,34.02,17.64,0,38.32,0.89,136.08,70.56,0,153.29,0.89,,2/9/18 4:30,0.11
H202010637868     ,2018/02/09 4:45,34.02,17.55,0,38.28,0.89,136.08,70.2,0,153.12,0.89,,2/9/18 4:45,0.11
H202010637868     ,2018/02/09 5:00,34.02,17.46,0,38.24,0.89,136.08,69.84,0,152.96,0.89,,2/9/18 5:00,0.11
H202010637868     ,2018/02/09 5:15,34.02,16.74,0,37.92,0.9,136.08,66.96,0,151.66,0.9,,2/9/18 5:15,0.11
H202010637868     ,2018/02/09 5:30,34.29,16.83,0,38.2,0.9,137.16,67.32,0,152.79,0.9,,2/9/18 5:30,0.12
H202010637868     ,2018/02/09 5:45,35.19,17.46,0,39.28,0.9,140.76,69.84,0,157.13,0.9,,2/9/18 5:45,0.12
H202010637868     ,2018/02/09 6:00,34.92,17.37,0,39,0.9,139.68,69.48,0,156.01,0.9,,2/9/18 6:00,0.12
H202010637868     ,2018/02/09 6:15,35.19,17.28,0,39.2,0.9,140.76,69.12,0,156.82,0.9,,2/9/18 6:15,0.12
H202010637868     ,2018/02/09 6:30,35.1,16.92,0,38.97,0.9,140.4,67.68,0,155.86,0.9,,2/9/18 6:30,0.13
H202010637868     ,2018/02/09 6:45,35.82,17.01,0,39.65,0.9,143.28,68.04,0,158.61,0.9,,2/9/18 6:45,0.13
H202010637868     ,2018/02/09 7:00,36.36,17.37,0,40.3,0.9,145.44,69.48,0,161.18,0.9,,2/9/18 7:00,0.13
H202010637868     ,2018/02/09 7:15,37.53,17.46,0,41.39,0.91,150.12,69.84,0,165.57,0.91,,2/9/18 7:15,0.13
H202010637868     ,2018/02/09 7:30,37.8,17.82,0,41.79,0.9,151.2,71.28,0,167.16,0.9,,2/9/18 7:30,0.09
H202010637868     ,2018/02/09 7:45,37.98,18,0,42.03,0.9,151.92,72,0,168.12,0.9,,2/9/18 7:45,0.6
H202010637868     ,2018/02/09 8:00,38.07,18,0,42.11,0.9,152.28,72,0,168.44,0.9,,2/9/18 8:00,1.43
H202010637868     ,2018/02/09 8:15,37.89,17.73,0,41.83,0.91,151.56,70.92,0,167.33,0.91,,2/9/18 8:15,2.24
H202010637868     ,2018/02/09 8:30,39.06,18.27,0,43.12,0.91,156.24,73.08,0,172.49,0.91,,2/9/18 8:30,3.15
H202010637868     ,2018/02/09 8:45,38.25,18.27,0,42.39,0.9,153,73.08,0,169.56,0.9,,2/9/18 8:45,4.11
H202010637868     ,2018/02/09 9:00,39.24,19.26,0,43.71,0.9,156.96,77.04,0,174.85,0.9,,2/9/18 9:00,5.11
H202010637868     ,2018/02/09 9:15,39.33,19.17,0,43.75,0.9,157.32,76.68,0,175.01,0.9,,2/9/18 9:15,6.16
H202010637868     ,2018/02/09 9:30,39.24,19.17,0,43.67,0.9,156.96,76.68,0,174.69,0.9,,2/9/18 9:30,7.07
H202010637868     ,2018/02/09 9:45,39.96,19.44,0,44.44,0.9,159.84,77.76,0,177.75,0.9,,2/9/18 9:45,8.14
H202010637868     ,2018/02/09 10:00,39.33,18.9,0,43.64,0.9,157.32,75.6,0,174.54,0.9,,2/9/18 10:00,9.08
H202010637868     ,2018/02/09 10:15,40.77,19.89,0,45.36,0.9,163.08,79.56,0,181.45,0.9,,2/9/18 10:15,9.88
H202010637868     ,2018/02/09 10:30,38.79,18.72,0,43.07,0.9,155.16,74.88,0,172.28,0.9,,2/9/18 10:30,10.52
H202010637868     ,2018/02/09 10:45,40.86,19.35,0,45.21,0.9,163.44,77.4,0,180.84,0.9,,2/9/18 10:45,11.05
H202010637868     ,2018/02/09 11:00,41.85,19.62,0,46.22,0.91,167.4,78.48,0,184.88,0.91,,2/9/18 11:00,11.65
H202010637868     ,2018/02/09 11:15,43.11,20.16,0,47.59,0.91,172.44,80.64,0,190.36,0.91,,2/9/18 11:15,12.13
H202010637868     ,2018/02/09 11:30,41.04,19.8,0,45.57,0.9,164.16,79.2,0,182.27,0.9,,2/9/18 11:30,12.41
H202010637868     ,2018/02/09 11:45,40.23,19.35,0,44.64,0.9,160.92,77.4,0,178.57,0.9,,2/9/18 11:45,12.8
H202010637868     ,2018/02/09 12:00,40.14,19.17,0,44.48,0.9,160.56,76.68,0,177.93,0.9,,2/9/18 12:00,13.09
H202010637868     ,2018/02/09 12:15,40.86,18.9,0,45.02,0.91,163.44,75.6,0,180.08,0.91,,2/9/18 12:15,13.33
H202010637868     ,2018/02/09 12:30,39.96,18.99,0,44.24,0.9,159.84,75.96,0,176.97,0.9,,2/9/18 12:30,13.52
H202010637868     ,2018/02/09 12:45,40.68,19.17,0,44.97,0.9,162.72,76.68,0,179.88,0.9,,2/9/18 12:45,13.63
H202010637868     ,2018/02/09 13:00,41.85,19.53,0,46.18,0.91,167.4,78.12,0,184.73,0.91,,2/9/18 13:00,13.61
H202010637868     ,2018/02/09 13:15,42.66,19.98,0,47.11,0.91,170.64,79.92,0,188.43,0.91,,2/9/18 13:15,13.53
H202010637868     ,2018/02/09 13:30,43.02,20.34,0,47.59,0.9,172.08,81.36,0,190.34,0.9,,2/9/18 13:30,13.43
H202010637868     ,2018/02/09 13:45,42.48,20.25,0,47.06,0.9,169.92,81,0,188.24,0.9,,2/9/18 13:45,13.25
H202010637868     ,2018/02/09 14:00,42.57,20.25,0,47.14,0.9,170.28,81,0,188.56,0.9,,2/9/18 14:00,12.95
H202010637868     ,2018/02/09 14:15,42.57,20.34,0,47.18,0.9,170.28,81.36,0,188.72,0.9,,2/9/18 14:15,12.69
H202010637868     ,2018/02/09 14:30,42.93,19.98,0,47.35,0.91,171.72,79.92,0,189.41,0.91,,2/9/18 14:30,12.33
H202010637868     ,2018/02/09 14:45,43.56,19.62,0,47.77,0.91,174.24,78.48,0,191.1,0.91,,2/9/18 14:45,11.96
H202010637868     ,2018/02/09 15:00,44.19,19.89,0,48.46,0.91,176.76,79.56,0,193.84,0.91,,2/9/18 15:00,11.51
H202010637868     ,2018/02/09 15:15,44.19,20.07,0,48.53,0.91,176.76,80.28,0,194.14,0.91,,2/9/18 15:15,10.99
H202010637868     ,2018/02/09 15:30,44.28,20.16,0,48.65,0.91,177.12,80.64,0,194.61,0.91,,2/9/18 15:30,10.33
H202010637868     ,2018/02/09 15:45,44.1,19.98,0,48.41,0.91,176.4,79.92,0,193.66,0.91,,2/9/18 15:45,9.76
H202010637868     ,2018/02/09 16:00,43.56,19.8,0,47.85,0.91,174.24,79.2,0,191.4,0.91,,2/9/18 16:00,9.07
H202010637868     ,2018/02/09 16:15,43.65,19.62,0,47.86,0.91,174.6,78.48,0,191.43,0.91,,2/9/18 16:15,8.28
H202010637868     ,2018/02/09 16:30,43.2,19.62,0,47.45,0.91,172.8,78.48,0,189.79,0.91,,2/9/18 16:30,7.39
H202010637868     ,2018/02/09 16:45,43.29,19.89,0,47.64,0.91,173.16,79.56,0,190.56,0.91,,2/9/18 16:45,6.45
H202010637868     ,2018/02/09 17:00,43.29,19.71,0,47.57,0.91,173.16,78.84,0,190.26,0.91,,2/9/18 17:00,5.45
H202010637868     ,2018/02/09 17:15,42.57,19.44,0,46.8,0.91,170.28,77.76,0,187.19,0.91,,2/9/18 17:15,4.39
H202010637868     ,2018/02/09 17:30,41.76,19.26,0,45.99,0.91,167.04,77.04,0,183.95,0.91,,2/9/18 17:30,3.33
H202010637868     ,2018/02/09 17:45,41.67,18.54,0,45.61,0.91,166.68,74.16,0,182.43,0.91,,2/9/18 17:45,2.16
H202010637868     ,2018/02/09 18:00,42.21,18.45,0,46.07,0.92,168.84,73.8,0,184.26,0.92,,2/9/18 18:00,0.95
H202010637868     ,2018/02/09 18:15,42.03,18.27,0,45.83,0.92,168.12,73.08,0,183.32,0.92,,2/9/18 18:15,0.26
H202010637868     ,2018/02/09 18:30,41.85,18.27,0,45.66,0.92,167.4,73.08,0,182.66,0.92,,2/9/18 18:30,0.02
H202010637868     ,2018/02/09 18:45,38.16,17.28,0,41.89,0.91,152.64,69.12,0,167.56,0.91,,2/9/18 18:45,0.01
H202010637868     ,2018/02/09 19:00,38.43,17.37,0,42.17,0.91,153.72,69.48,0,168.69,0.91,,2/9/18 19:00,0.01
H202010637868     ,2018/02/09 19:15,39.24,17.19,0,42.84,0.92,156.96,68.76,0,171.36,0.92,,2/9/18 19:15,0.01
H202010637868     ,2018/02/09 19:30,38.79,16.65,0,42.21,0.92,155.16,66.6,0,168.85,0.92,,2/9/18 19:30,0.01
H202010637868     ,2018/02/09 19:45,38.25,16.74,0,41.75,0.92,153,66.96,0,167.01,0.92,,2/9/18 19:45,0.02
H202010637868     ,2018/02/09 20:00,37.26,16.83,0,40.88,0.91,149.04,67.32,0,163.54,0.91,,2/9/18 20:00,0.02
H202010637868     ,2018/02/09 20:15,36.72,16.83,0,40.39,0.91,146.88,67.32,0,161.57,0.91,,2/9/18 20:15,0.02
H202010637868     ,2018/02/09 20:30,36.36,16.92,0,40.1,0.91,145.44,67.68,0,160.42,0.91,,2/9/18 20:30,0.02
H202010637868     ,2018/02/09 20:45,36.27,17.01,0,40.06,0.91,145.08,68.04,0,160.24,0.91,,2/9/18 20:45,0.03
H202010637868     ,2018/02/09 21:00,36.18,17.37,0,40.13,0.9,144.72,69.48,0,160.53,0.9,,2/9/18 21:00,0.03
H202010637868     ,2018/02/09 21:15,36,17.37,0,39.97,0.9,144,69.48,0,159.89,0.9,,2/9/18 21:15,0.03
H202010637868     ,2018/02/09 21:30,35.91,17.37,0,39.89,0.9,143.64,69.48,0,159.56,0.9,,2/9/18 21:30,0.03
H202010637868     ,2018/02/09 21:45,36,17.46,0,40.01,0.9,144,69.84,0,160.04,0.9,,2/9/18 21:45,0.03
H202010637868     ,2018/02/09 22:00,35.64,17.46,0,39.69,0.9,142.56,69.84,0,158.75,0.9,,2/9/18 22:00,0.04
H202010637868     ,2018/02/09 22:15,35.82,17.55,0,39.89,0.9,143.28,70.2,0,159.55,0.9,,2/9/18 22:15,0.04
H202010637868     ,2018/02/09 22:30,35.55,17.19,0,39.49,0.9,142.2,68.76,0,157.95,0.9,,2/9/18 22:30,0.04
H202010637868     ,2018/02/09 22:45,35.55,17.01,0,39.41,0.9,142.2,68.04,0,157.64,0.9,,2/9/18 22:45,0.04
H202010637868     ,2018/02/09 23:00,35.19,16.74,0,38.97,0.9,140.76,66.96,0,155.88,0.9,,2/9/18 23:00,0.05
H202010637868     ,2018/02/09 23:15,35.37,16.38,0,38.98,0.91,141.48,65.52,0,155.91,0.91,,2/9/18 23:15,0.05
H202010637868     ,2018/02/09 23:30,34.92,16.38,0,38.57,0.91,139.68,65.52,0,154.28,0.91,,2/9/18 23:30,0.05
H202010637868     ,2018/02/09 23:45,34.83,16.38,0,38.49,0.9,139.32,65.52,0,153.96,0.9,,2/9/18 23:45,0.05
H202010637868     ,2018/02/10 0:00,35.01,16.47,0,38.69,0.9,140.04,65.88,0,154.76,0.9,,2/10/18 0:00,0.05
H202010637868     ,2018/02/10 0:15,34.83,16.47,0,38.53,0.9,139.32,65.88,0,154.11,0.9,,2/10/18 0:15,0.06
H202010637868     ,2018/02/10 0:30,34.92,16.47,0,38.61,0.9,139.68,65.88,0,154.44,0.9,,2/10/18 0:30,0.06
H202010637868     ,2018/02/10 0:45,34.74,16.56,0,38.49,0.9,138.96,66.24,0,153.94,0.9,,2/10/18 0:45,0.06
H202010637868     ,2018/02/10 1:00,34.92,16.38,0,38.57,0.91,139.68,65.52,0,154.28,0.91,,2/10/18 1:00,0.06
H202010637868     ,2018/02/10 1:15,34.65,16.29,0,38.29,0.9,138.6,65.16,0,153.15,0.9,,2/10/18 1:15,0.07
H202010637868     ,2018/02/10 1:30,34.74,16.56,0,38.49,0.9,138.96,66.24,0,153.94,0.9,,2/10/18 1:30,0.07
H202010637868     ,2018/02/10 1:45,34.83,16.47,0,38.53,0.9,139.32,65.88,0,154.11,0.9,,2/10/18 1:45,0.07
H202010637868     ,2018/02/10 2:00,34.29,16.29,0,37.96,0.9,137.16,65.16,0,151.85,0.9,,2/10/18 2:00,0.07
H202010637868     ,2018/02/10 2:15,34.47,16.38,0,38.16,0.9,137.88,65.52,0,152.66,0.9,,2/10/18 2:15,0.07
H202010637868     ,2018/02/10 2:30,34.38,16.38,0,38.08,0.9,137.52,65.52,0,152.33,0.9,,2/10/18 2:30,0.08
H202010637868     ,2018/02/10 2:45,34.47,16.56,0,38.24,0.9,137.88,66.24,0,152.97,0.9,,2/10/18 2:45,0.08
H202010637868     ,2018/02/10 3:00,34.38,16.47,0,38.12,0.9,137.52,65.88,0,152.49,0.9,,2/10/18 3:00,0.08
H202010637868     ,2018/02/10 3:15,34.47,16.47,0,38.2,0.9,137.88,65.88,0,152.81,0.9,,2/10/18 3:15,0.08
H202010637868     ,2018/02/10 3:30,34.47,16.38,0,38.16,0.9,137.88,65.52,0,152.66,0.9,,2/10/18 3:30,0.09
H202010637868     ,2018/02/10 3:45,34.2,16.29,0,37.88,0.9,136.8,65.16,0,151.53,0.9,,2/10/18 3:45,0.09
H202010637868     ,2018/02/10 4:00,34.29,16.47,0,38.04,0.9,137.16,65.88,0,152.16,0.9,,2/10/18 4:00,0.09
H202010637868     ,2018/02/10 4:15,34.02,16.29,0,37.72,0.9,136.08,65.16,0,150.88,0.9,,2/10/18 4:15,0.09
H202010637868     ,2018/02/10 4:30,34.2,16.38,0,37.92,0.9,136.8,65.52,0,151.68,0.9,,2/10/18 4:30,0.09
H202010637868     ,2018/02/10 4:45,34.38,16.47,0,38.12,0.9,137.52,65.88,0,152.49,0.9,,2/10/18 4:45,0.1
H202010637868     ,2018/02/10 5:00,34.11,16.38,0,37.84,0.9,136.44,65.52,0,151.36,0.9,,2/10/18 5:00,0.1
H202010637868     ,2018/02/10 5:15,34.29,16.38,0,38,0.9,137.16,65.52,0,152.01,0.9,,2/10/18 5:15,0.1
H202010637868     ,2018/02/10 5:30,34.92,17.1,0,38.88,0.9,139.68,68.4,0,155.53,0.9,,2/10/18 5:30,0.1
H202010637868     ,2018/02/10 5:45,35.64,17.55,0,39.73,0.9,142.56,70.2,0,158.91,0.9,,2/10/18 5:45,0.11
H202010637868     ,2018/02/10 6:00,35.28,17.28,0,39.28,0.9,141.12,69.12,0,157.14,0.9,,2/10/18 6:00,0.11
H202010637868     ,2018/02/10 6:15,35.55,17.19,0,39.49,0.9,142.2,68.76,0,157.95,0.9,,2/10/18 6:15,0.11
H202010637868     ,2018/02/10 6:30,35.55,17.01,0,39.41,0.9,142.2,68.04,0,157.64,0.9,,2/10/18 6:30,0.11
H202010637868     ,2018/02/10 6:45,35.91,17.1,0,39.77,0.9,143.64,68.4,0,159.09,0.9,,2/10/18 6:45,0.11
H202010637868     ,2018/02/10 7:00,35.82,16.92,0,39.62,0.9,143.28,67.68,0,158.46,0.9,,2/10/18 7:00,0.12
H202010637868     ,2018/02/10 7:15,36.27,16.83,0,39.98,0.91,145.08,67.32,0,159.94,0.91,,2/10/18 7:15,0.12
H202010637868     ,2018/02/10 7:30,36.27,16.92,0,40.02,0.91,145.08,67.68,0,160.09,0.91,,2/10/18 7:30,0.1
H202010637868     ,2018/02/10 7:45,36.81,17.37,0,40.7,0.9,147.24,69.48,0,162.81,0.9,,2/10/18 7:45,0.59
H202010637868     ,2018/02/10 8:00,37.08,17.64,0,41.06,0.9,148.32,70.56,0,164.25,0.9,,2/10/18 8:00,1.4
H202010637868     ,2018/02/10 8:15,35.82,17.37,0,39.81,0.9,143.28,69.48,0,159.24,0.9,,2/10/18 8:15,2.19
H202010637868     ,2018/02/10 8:30,35.64,17.28,0,39.61,0.9,142.56,69.12,0,158.43,0.9,,2/10/18 8:30,3.12
H202010637868     ,2018/02/10 8:45,35.55,17.55,0,39.65,0.9,142.2,70.2,0,158.58,0.9,,2/10/18 8:45,4.07
H202010637868     ,2018/02/10 9:00,35.1,17.46,0,39.2,0.9,140.4,69.84,0,156.81,0.9,,2/10/18 9:00,5.09
H202010637868     ,2018/02/10 9:15,34.29,17.46,0,38.48,0.89,137.16,69.84,0,153.92,0.89,,2/10/18 9:15,6.06
H202010637868     ,2018/02/10 9:30,33.93,17.64,0,38.24,0.89,135.72,70.56,0,152.97,0.89,,2/10/18 9:30,7.06
H202010637868     ,2018/02/10 9:45,33.57,17.64,0,37.92,0.89,134.28,70.56,0,151.69,0.89,,2/10/18 9:45,8.07
H202010637868     ,2018/02/10 10:00,33.3,17.46,0,37.6,0.89,133.2,69.84,0,150.4,0.89,,2/10/18 10:00,8.85
H202010637868     ,2018/02/10 10:15,33.57,17.64,0,37.92,0.89,134.28,70.56,0,151.69,0.89,,2/10/18 10:15,9.67
H202010637868     ,2018/02/10 10:30,35.01,18.18,0,39.45,0.89,140.04,72.72,0,157.8,0.89,,2/10/18 10:30,10.22
H202010637868     ,2018/02/10 10:45,34.47,17.73,0,38.76,0.89,137.88,70.92,0,155.05,0.89,,2/10/18 10:45,10.68
H202010637868     ,2018/02/10 11:00,34.65,17.91,0,39.01,0.89,138.6,71.64,0,156.02,0.89,,2/10/18 11:00,11.18
H202010637868     ,2018/02/10 11:15,34.65,18,0,39.05,0.89,138.6,72,0,156.19,0.89,,2/10/18 11:15,11.57
H202010637868     ,2018/02/10 11:30,34.74,18,0,39.13,0.89,138.96,72,0,156.51,0.89,,2/10/18 11:30,11.87
H202010637868     ,2018/02/10 11:45,34.11,17.82,0,38.48,0.89,136.44,71.28,0,153.94,0.89,,2/10/18 11:45,12.14
H202010637868     ,2018/02/10 12:00,33.93,17.82,0,38.32,0.89,135.72,71.28,0,153.3,0.89,,2/10/18 12:00,12.5
H202010637868     ,2018/02/10 12:15,35.46,18.09,0,39.81,0.89,141.84,72.36,0,159.23,0.89,,2/10/18 12:15,12.62
H202010637868     ,2018/02/10 12:30,36.54,18.36,0,40.89,0.89,146.16,73.44,0,163.57,0.89,,2/10/18 12:30,13
H202010637868     ,2018/02/10 12:45,37.26,18.45,0,41.58,0.9,149.04,73.8,0,166.31,0.9,,2/10/18 12:45,12.77
H202010637868     ,2018/02/10 13:00,40.77,19.08,0,45.01,0.91,163.08,76.32,0,180.06,0.91,,2/10/18 13:00,12.66
H202010637868     ,2018/02/10 13:15,39.78,19.17,0,44.16,0.9,159.12,76.68,0,176.63,0.9,,2/10/18 13:15,12.5
H202010637868     ,2018/02/10 13:30,39.87,19.26,0,44.28,0.9,159.48,77.04,0,177.11,0.9,,2/10/18 13:30,12.57
H202010637868     ,2018/02/10 13:45,40.14,19.35,0,44.56,0.9,160.56,77.4,0,178.24,0.9,,2/10/18 13:45,12.34
H202010637868     ,2018/02/10 14:00,40.95,19.44,0,45.33,0.9,163.8,77.76,0,181.32,0.9,,2/10/18 14:00,12.14
H202010637868     ,2018/02/10 14:15,42.03,19.53,0,46.35,0.91,168.12,78.12,0,185.38,0.91,,2/10/18 14:15,11.91
H202010637868     ,2018/02/10 14:30,42.39,19.35,0,46.6,0.91,169.56,77.4,0,186.39,0.91,,2/10/18 14:30,11.64
